name,salary_from,salary_to,salary_currency,area_name,published_at
Инженер отдела телекоммуникаций,80000,125000,RUR,Екатеринбург,2022-12-21T06:10:09+0300
Системный администратор Linux,60000,,RUR,Пенза,2022-12-21T07:24:23+0300
Заливщик металла,,45000,RUR,Заинск,2022-12-21T07:56:53+0300
Сервисный инженер-механик,70000,,RUR,Междуреченск,2022-12-21T06:54:44+0300
Мастер по ремонту цифровой техники,40000,60000,RUR,Благовещенск (Амурская область),2022-12-21T06:53:14+0300
Оператор,,140000,KZT,Караганда,2022-12-21T06:36:28+0300
Фрезеровщик,35000,,RUR,Нефтекамск,2022-12-21T07:12:09+0300
Механик (г. Коркино),31918,,RUR,Коркино,2022-12-21T06:16:33+0300
Помощник машиниста экструдера,28000,45000,RUR,Томск,2022-12-21T07:07:29+0300
Токарь-расточник,60000,,RUR,Барнаул,2022-12-21T06:31:16+0300
Токарь (5-6 разряд),80000,,RUR,Сургут,2022-12-21T07:26:49+0300
Инженер 1 категории Отдела главного механика Цементного завода,116000,,RUR,Норильск,2022-12-21T06:58:46+0300
Наладчик шлифовальных станков,,80000,RUR,Саратов,2022-12-21T07:33:28+0300
Системный администратор,40000,,RUR,Новосибирск,2022-12-21T06:10:10+0300
Художник лазерной графики,20000,70000,RUR,Челябинск,2022-12-21T07:12:49+0300
Литейщик металлов и сплавов,35000,45000,RUR,Набережные Челны,2022-12-21T07:58:14+0300
Оператор станков с программным управлением,45000,,RUR,Братск,2022-12-21T06:33:07+0300
Специалист отдела внедрения,70000,,RUR,Томск,2022-12-21T07:14:04+0300
Специалист внедрения и сопровождения 1С ERP,100000,,RUR,Оренбург,2022-12-21T07:22:38+0300
Аналитик по планированию,5000000,7000000,UZS,Ташкент,2022-12-21T07:04:12+0300
Архитектор БД,100000,150000,RUR,Уфа,2022-12-21T07:14:21+0300
Электромеханик линейных сооружений связи и абонентских устройств (г. Салават),35000,45000,RUR,Стерлитамак,2022-12-21T07:39:17+0300
Сервисный инженер-механик,70000,,RUR,Прокопьевск,2022-12-21T06:54:44+0300
Программист 1C,120000,140000,RUR,Екатеринбург,2022-12-21T06:52:19+0300
Разработчик 1С,120000,,RUR,Барнаул,2022-12-21T06:17:59+0300
Мастер по ремонту телефонов и ноутбуков,100000,,RUR,Владивосток,2022-12-21T07:18:35+0300
Фрезеровщик,80000,,RUR,Челябинск,2022-12-21T06:10:11+0300
Техник по сервису,220000,,KZT,Караганда,2022-12-21T06:18:57+0300
Программист 1С,110000,,RUR,Иркутск,2022-12-21T07:24:45+0300
Механик,125000,125000,RUR,Красноярск,2022-12-21T06:02:03+0300
Менеджер проектов,60000,100000,RUR,Челябинск,2022-12-21T07:19:25+0300
Инженер радиовещания,40000,55000,RUR,Ижевск,2022-12-21T06:12:37+0300
Программист 1С,40000,90000,RUR,Красноярск,2022-12-21T07:56:43+0300
Директор СТО,110000,,RUR,Тюмень,2022-12-21T07:54:47+0300
Фрезеровщик 4-6 разряд,50000,,RUR,Краснотурьинск,2022-12-21T07:18:35+0300
Ведущий РНР разработчик (Symfony),350000,,RUR,Москва,2022-12-21T07:14:19+0300
Программист 1С,110000,,RUR,Новосибирск,2022-12-21T07:24:45+0300
Руководитель проектов,100000,150000,RUR,Березовский (Свердловская область),2022-12-21T07:47:25+0300
Механик,45000,,RUR,Омск,2022-12-21T07:58:32+0300
Java developer,,1500000,KZT,Алматы,2022-12-21T07:10:08+0300
Старший системный администратор,37000,,RUR,Керчь,2022-12-21T07:14:59+0300
Фрезеровщик,55000,90000,RUR,Нижний Новгород,2022-12-21T07:43:27+0300
Дизайнер корпусной мебели,50000,100000,RUR,Красноярск,2022-12-21T06:12:53+0300
Механик (г. Коркино),31918,,RUR,Челябинск,2022-12-21T06:16:30+0300
Технический руководитель интернет-магазина,100000,,RUR,Кемерово,2022-12-21T06:50:44+0300
Технический специалист (Широкая речка),30000,40000,RUR,Екатеринбург,2022-12-21T07:45:42+0300
Техник по сервису,220000,,KZT,Костанай,2022-12-21T06:18:44+0300
Оператор-термист на передвижных термических установках 5 разряда,45000,,RUR,Красноярск,2022-12-21T06:10:18+0300
Заливщик металла,,45000,RUR,Набережные Челны,2022-12-21T07:56:45+0300
Техник связи,45000,,RUR,Бердск,2022-12-21T07:10:33+0300
Программист 1С,120000,,RUR,Екатеринбург,2022-12-21T06:58:24+0300
Токарь,,150000,RUR,Новосибирск,2022-12-21T07:10:22+0300
Оператор линии гранулирования (Машинист экструдера),30000,35000,RUR,Сосновоборск,2022-12-21T07:53:44+0300
Наладчик линии производства мороженого,35000,,RUR,Томск,2022-12-21T07:17:46+0300
Системный администратор 1С,37000,37000,RUR,Омск,2022-12-21T06:51:45+0300
Механик,35000,40000,RUR,Омск,2022-12-21T06:10:11+0300
PHP-программист,180000,,RUR,Москва,2022-12-21T07:14:19+0300
Механик-контролер,48000,60000,RUR,Магадан,2022-12-21T06:40:27+0300
Программист Delphi,90000,,RUR,Нижний Новгород,2022-12-21T07:14:18+0300
Начальник контрольно-технического пункта - старший механик,40000,,RUR,Керчь,2022-12-21T07:15:15+0300
Оператор станков с программным управлением (уч. мдф),40000,,RUR,Тольятти,2022-12-21T07:16:31+0300
